Console,Critic Score,Developer,Title,Japan Sales,Last Update,NA Sales,Other Sales,PAL Sales,Publisher,Release Date,Total Sales,Total Shipped,User Score,VGChartz Score
PS,9.5,Polyphony Digital,Gran Turismo,N/A,N/A,N/A,N/A,N/A,Sony Computer Entertainment,30th Apr 98,N/A,10.85m,N/A,N/A
PS,9.6,SquareSoft,Final Fantasy VII,N/A,23rd Mar 19,N/A,N/A,N/A,Sony Computer Entertainment,03rd Sep 97,N/A,9.90m,9.5,N/A
PS,9.2,Polyphony Digital,Gran Turismo 2,N/A,N/A,N/A,N/A,N/A,Sony Computer Entertainment,17th Jan 99,N/A,9.37m,N/A,N/A
PS,9.4,SquareSoft,Final Fantasy VIII,N/A,N/A,N/A,N/A,N/A,Square EA,07th Sep 99,N/A,8.60m,N/A,N/A
PS,9.6,Namco,Tekken 3,N/A,N/A,N/A,N/A,N/A,Namco,29th Apr 98,N/A,8.36m,N/A,N/A
PS,8,Argonaut Games,Harry Potter and the Sorcerer's Stone,N/A,N/A,N/A,N/A,N/A,Electronic Arts,15th Nov 01,N/A,8.00m,N/A,N/A
PS,7.8,Naughty Dog,Crash Bandicoot,N/A,N/A,N/A,N/A,N/A,Sony Computer Entertainment,01st Sep 96,N/A,6.82m,N/A,N/A
PS,8.5,Reflections Interactive,Driver,0.02m,N/A,3.11m,0.33m,2.80m,GT Interactive,30th Jun 99,6.27m,N/A,N/A,N/A
PS,9.1,Namco,Tekken 2,1.36m,N/A,2.26m,0.23m,1.89m,Namco,25th Aug 96,5.74m,N/A,N/A,N/A
PS,9.3,Naughty Dog,Crash Bandicoot 3: Warped,N/A,24th Sep 18,N/A,N/A,N/A,Sony Computer Entertainment,31st Oct 98,N/A,5.70m,N/A,N/A
PS,9.3,Konami Computer Entertainment Japan,Metal Gear Solid,N/A,05th Aug 23,N/A,N/A,N/A,Konami,21st Oct 98,N/A,5.51m,N/A,N/A
PS,9.2,SquareSoft,Final Fantasy IX,N/A,N/A,N/A,N/A,N/A,Square,13th Nov 00,N/A,5.50m,N/A,N/A
PS,7.6,Core Design Ltd.,Tomb Raider II,0.20m,N/A,2.30m,0.28m,2.46m,Eidos Interactive,31st Oct 97,5.24m,N/A,N/A,N/A
PS,9.6,Neversoft Entertainment,Tony Hawk's Pro Skater,0.02m,N/A,3.42m,0.20m,1.38m,Activision,31st Aug 99,5.02m,N/A,N/A,N/A
PS,N/A,Pumpkin Studios,Warzone 2100,N/A,N/A,2.79m,0.33m,1.89m,Eidos Interactive,31st May 99,5.01m,N/A,N/A,N/A
PS,9.3,Capcom,Resident Evil 2,N/A,N/A,N/A,N/A,N/A,Capcom,21st Jan 98,N/A,4.96m,N/A,N/A
PS,8.7,Insomniac Games,Spyro the Dragon,N/A,N/A,N/A,N/A,N/A,Sony Computer Entertainment,10th Sep 98,N/A,4.83m,N/A,N/A
PS,9.2,Naughty Dog,Crash Team Racing,0.44m,N/A,2.57m,0.21m,1.57m,Sony Computer Entertainment,30th Sep 99,4.79m,N/A,N/A,N/A
PS,7,Reflections Interactive,Driver 2,0.02m,N/A,2.36m,0.25m,2.10m,Atari,13th Nov 00,4.73m,N/A,N/A,N/A
PS,9.3,Neversoft Entertainment,Tony Hawk's Pro Skater 2,0.02m,N/A,3.05m,0.20m,1.41m,Activision,20th Sep 00,4.68m,N/A,N/A,N/A
PS,8.9,Core Design Ltd.,Tomb Raider,0.13m,N/A,2.29m,0.24m,1.97m,Eidos Interactive,14th Nov 96,4.63m,N/A,N/A,N/A
PS,8,Heart Beat,Dragon Quest VII,N/A,27th Mar 18,N/A,N/A,N/A,Enix,01st Nov 01,N/A,4.30m,3,N/A
PS,N/A,Millenium Interactive,Frogger,N/A,N/A,3.79m,0.11m,0.27m,Hasbro Interactive,30th Sep 97,4.16m,N/A,N/A,N/A
